run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,bestepoch,totalepochs,loss,stopreason
14,satimage,36,6,135.5560525,0.7377852992891217,0.7382702725050164,0.9848928974069898,0.99,48,135,0.04122429425054719,consecincrease
15,satimage,36,6,130.3630632,0.744705173202083,0.7415475083038142,0.9878241262683202,0.9905,36,130,0.042672435474766617,consecincrease
16,satimage,36,6,836.3244556,0.8619319542770696,0.8306814579101073,0.9898534385569335,0.989,380,835,0.03212134340292886,consecincrease
17,satimage,36,6,886.1383155,0.7670213171558592,0.7509995903944343,0.9889515219842164,0.99,758,885,0.033262218886666264,consecincrease
18,satimage,36,6,125.3398648,0.7764270893771159,0.7814862481128287,0.9878241262683202,0.988,91,125,0.0408931246655953,consecincrease
19,satimage,36,6,75.0689879,0.7186821493440828,0.7425780504191684,0.9785794813979707,0.985,43,75,0.043010410646296536,consecincrease
20,satimage,36,6,60.1667273,0.7623807882096441,0.7725181085428791,0.9826381059751973,0.9885,42,60,0.04044450344297912,consecincrease
21,satimage,36,6,95.1400538,0.748008940667621,0.7559961899023886,0.9848928974069898,0.9885,49,95,0.04381559295799773,consecincrease
22,satimage,36,6,75.1301928,0.7803922948308669,0.7910386633632154,0.9896279594137543,0.991,49,75,0.041449223872494556,consecincrease
23,satimage,36,6,65.1886445,0.7422112139435418,0.750800343908796,0.9871476888387825,0.9925,36,65,0.042822365152247625,consecincrease
24,satimage,36,6,290.3861746,0.7991252791177493,0.790269421521653,0.9846674182638105,0.984,109,290,0.04145544426606582,consecincrease
25,satimage,36,6,55.0401234,0.7338950318277502,0.7455533396159222,0.9869222096956032,0.9875,34,55,0.044488523451572635,consecincrease
26,satimage,36,6,439.0869038,0.8421281633613745,0.8322284980598903,0.9873731679819616,0.9865,418,440,0.035143043741943346,consecincrease
27,satimage,36,6,69.9465813,0.7105866534399085,0.7063693809220101,0.9828635851183766,0.9885,28,70,0.04175701547274881,consecincrease
28,satimage,36,6,461.0176925,0.8111613248453726,0.7967572098517836,0.9792559188275085,0.983,410,460,0.0372987038779531,consecincrease
29,satimage,36,6,480.9292231,0.8423334066128086,0.8339166444380711,0.9846674182638105,0.986,472,480,0.030969529905109056,consecincrease
30,satimage,36,6,2464.3881696,0.8890807374677682,0.8331057265481568,0.9936865839909809,0.99,1357,2465,0.03246412779493359,consecincrease
1,segmentation,19,7,16.8131378,0.940196808698646,0.8666156723945134,0.9904761904761905,0.9680952380952381,444,465,0.026558994126409177,consecincrease
2,segmentation,19,7,9.8746411,0.9448011509503982,0.870107031975702,0.9857142857142858,0.960952380952381,255,275,0.027014604485029493,consecincrease
3,segmentation,19,7,12.2317995,0.9472909141428174,0.8722340818133271,0.9904761904761905,0.9733333333333334,321,340,0.02709921383408671,consecincrease
4,segmentation,19,7,12.5921214,0.9533034128617693,0.8710772640426999,0.9857142857142858,0.9666666666666667,332,350,0.027426466621282033,consecincrease
5,segmentation,19,7,8.8302995,0.9259928732846091,0.8546889939336076,0.9809523809523809,0.9571428571428572,189,245,0.031323746424707956,consecincrease
6,segmentation,19,7,13.7021722,0.9438361789993462,0.8937753554666052,0.9857142857142858,0.9647619047619047,360,380,0.025340653598714936,consecincrease
7,segmentation,19,7,9.7317011,0.9431325811748504,0.8795842052197945,0.9809523809523809,0.9628571428571429,252,270,0.02605763625953006,consecincrease
